name,pages,title
A Comic Artist’s Survival Guide Chapter 0,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/04/00-381.jpg,https://asura.gg/wp-content/uploads/2022/04/01-615.jpg,https://asura.gg/wp-content/uploads/2022/04/02-628.jpg,https://asura.gg/wp-content/uploads/2022/04/03-622.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 3,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-129.jpg,https://asura.gg/wp-content/uploads/2022/06/01-83.jpg,https://asura.gg/wp-content/uploads/2022/06/02-77.jpg,https://asura.gg/wp-content/uploads/2022/06/03-78.jpg,https://asura.gg/wp-content/uploads/2022/06/04-76.jpg,https://asura.gg/wp-content/uploads/2022/06/05-89.jpg,https://asura.gg/wp-content/uploads/2022/06/06-77.jpg,https://asura.gg/wp-content/uploads/2022/06/07-73.jpg,https://asura.gg/wp-content/uploads/2022/06/08-67.jpg,https://asura.gg/wp-content/uploads/2022/06/09-56.jpg,https://asura.gg/wp-content/uploads/2022/06/10-45.jpg,https://asura.gg/wp-content/uploads/2022/06/11-31.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 4,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-168.jpg,https://asura.gg/wp-content/uploads/2022/06/01-113.jpg,https://asura.gg/wp-content/uploads/2022/06/02-108.jpg,https://asura.gg/wp-content/uploads/2022/06/03-109.jpg,https://asura.gg/wp-content/uploads/2022/06/04-107.jpg,https://asura.gg/wp-content/uploads/2022/06/05-110.jpg,https://asura.gg/wp-content/uploads/2022/06/06-106.jpg,https://asura.gg/wp-content/uploads/2022/06/07-100.jpg,https://asura.gg/wp-content/uploads/2022/06/08-91.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
A Comic Artist’s Survival Guide Chapter 2,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-75.jpg,https://asura.gg/wp-content/uploads/2022/06/01-40.jpg,https://asura.gg/wp-content/uploads/2022/06/02-40.jpg,https://asura.gg/wp-content/uploads/2022/06/03-40.jpg,https://asura.gg/wp-content/uploads/2022/06/04-40.jpg,https://asura.gg/wp-content/uploads/2022/06/05-40.jpg,https://asura.gg/wp-content/uploads/2022/06/06-40.jpg,https://asura.gg/wp-content/uploads/2022/06/07-40.jpg,https://asura.gg/wp-content/uploads/2022/06/08-37.jpg,https://asura.gg/wp-content/uploads/2022/06/09-31.jpg,https://asura.gg/wp-content/uploads/2022/06/10-29.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
Academy’s Undercover Professor Chapter 34 – Unwritten Law,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/00-Recovered-5.jpg,https://asura.gg/wp-content/uploads/2022/11/01-kopya-17.jpg,https://asura.gg/wp-content/uploads/2022/11/02-kopya-16.jpg,https://asura.gg/wp-content/uploads/2022/11/03-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/04-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/05-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/06-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/07-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/08-kopya-15.jpg,https://asura.gg/wp-content/uploads/2022/11/09-kopya-14.jpg,https://asura.gg/wp-content/uploads/2022/11/10-kopya-13.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Academy’s Undercover Professor
A Comic Artist’s Survival Guide Chapter 1,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/06/00-31.jpg,https://asura.gg/wp-content/uploads/2022/06/01-18.jpg,https://asura.gg/wp-content/uploads/2022/06/02-18.jpg,https://asura.gg/wp-content/uploads/2022/06/03-18.jpg,https://asura.gg/wp-content/uploads/2022/06/04-18.jpg,https://asura.gg/wp-content/uploads/2022/06/05-18.jpg,https://asura.gg/wp-content/uploads/2022/06/06-18.jpg,https://asura.gg/wp-content/uploads/2022/06/07-18.jpg,https://asura.gg/wp-content/uploads/2022/06/08-16.jpg,https://asura.gg/wp-content/uploads/2022/06/09-15.jpg,https://asura.gg/wp-content/uploads/2022/06/10-11.jpg,https://asura.gg/wp-content/uploads/2022/06/11-8.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",A Comic Artist’s Survival Guide
Above the Heavens Chapter 10,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/12/00-95.jpg,https://asura.gg/wp-content/uploads/2021/12/01-108.jpg,https://asura.gg/wp-content/uploads/2021/12/02-106.jpg,https://asura.gg/wp-content/uploads/2021/12/03-107.jpg,https://asura.gg/wp-content/uploads/2021/12/04-106.jpg,https://asura.gg/wp-content/uploads/2021/12/05-103.jpg,https://asura.gg/wp-content/uploads/2021/12/06-92.jpg,https://asura.gg/wp-content/uploads/2021/12/07-65.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Above the Heavens
Arcana Fantasy Chapter 29,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2021/02/00-72.jpg,https://asura.gg/wp-content/uploads/2021/02/001-8.jpg,https://asura.gg/wp-content/uploads/2021/02/002-7.jpg,https://asura.gg/wp-content/uploads/2021/02/003-8.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
Academy’s Undercover Professor Chapter 33 – Trap,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2022/11/New_credit-kopya.jpg,https://asura.gg/wp-content/uploads/2022/11/01-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/02-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/03-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/04-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/05-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/06-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/07-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/08-kopya-10.jpg,https://asura.gg/wp-content/uploads/2022/11/09-Kurtarildi-kopya.jpg,https://asura.gg/wp-content/uploads/2022/11/10-Kurtarildi-kopya.jpg,https://asura.gg/wp-content/uploads/2022/01/ENDING-PAGE.jpg",Academy’s Undercover Professor
Arcana Fantasy Chapter 12,"https://www.asurascans.com/wp-content/uploads/2021/04/page100-10.jpg,https://asura.gg/wp-content/uploads/2020/12/AF12.jpg,https://asura.gg/wp-content/uploads/2020/12/AF121.jpg,https://asura.gg/wp-content/uploads/2020/12/AF122.jpg,https://asura.gg/wp-content/uploads/2020/12/AF123.jpg,https://asura.gg/wp-content/uploads/2020/12/AF124.jpg,https://asura.gg/wp-content/uploads/2020/12/AF125.jpg,https://asura.gg/wp-content/uploads/2020/12/AF126.jpg,https://asura.gg/wp-content/uploads/2020/12/AF127.jpg,https://asura.gg/wp-content/uploads/2020/10/ENDING-PAGE.jpg",Arcana Fantasy
