author,category,description,genres,image_url,rating,status,title
,Manhua,"Snow, a failing comic artist whose comic is about to be discontinued, reincarnates into his own comic by chance. In his comic, the Pante Continent is on the verge of ruin due to the expansion of the Demon King’s army, resulting in Snow being in danger as well. Just as his life was about to end, Snow receives an opportunity to survive, with the condition that he takes over the author’s role and rewrites the entire comic’s storyline. If he fails to ” create” a more interesting story, then Snow and the comic world would be destroyed…","Action,Adventure,Fantasy,Isekai,Shounen",https://asura.gg/wp-content/uploads/2022/04/cover1.jpg,8,Coming Soon,A Comic Artist’s Survival Guide
,Manhwa,"With beasts appearing all over the world, billions of people have died to the catastrophic event. Part of the survivors who lived became “metahumans”. They were people who would be able to face off against the beasts, as such, a huge gap between metahumans and the humans who weren’t able to transition opened. Kim Seonwoo is a regular human guide for the metahumans’ beast subjugation. On the verge of their death, he heard a voice in his head say: “Kill them.” “Kill them and take their power!”, ","Action,Adventure,Fantasy,Mature,Seinen,Supernatural",https://asura.gg/wp-content/uploads/2022/07/CarniHunterColor02.png,9.4,Ongoing,Carnivorous Hunter
,Manhua,"College student Zhou Mingyu has been targeted by various forces in the warlock world for possessing a strange power called [Tengu].,In order to eliminate the influence of [Tengu] on him and to unveil the truth about his father’s death, a mysterious event that took place in the Kunlun Mountains more than a hundred years ago is revealed…","Action,Fantasy,Shounen,Supernatural",https://asura.gg/wp-content/uploads/2021/09/abovetheheavenscover-1.jpg,9.0,Dropped,Above the Heavens
,Manhwa,"Known as “Mister Perfect”, the Champion, Kim Sanghyuk, was a living legend in the world of mixed martial arts. However, he was one day reborn into the Murim world as the youngest member of the Golden Tiger Wall! “This time, I’ll forge a new legend in the Murim!” The Murim, which was home to a medley of martial arts and techniques, suddenly welcomed an oddity who was trained in Boxing, Taekwondo, Muay Thai, Wrestling, Jujitsu, Capoeira, Judo, and a variety of modern martial arts. He’s ready to shake things up!","Action,Adventure,Fantasy,Martial Arts,Rebirth",https://asura.gg/wp-content/uploads/2022/09/PathtoMurimCover01.png,9.6,Ongoing,Champion’s Path to Murim
,Manhwa,"The greatest warrior of the Boulder Axe Tribe, Urich.,
He accomplished what others in his tribe could not, and went beyond the ‘Sky Mountain Range’.,What he saw beyond the mountains was,,Different clothing being worn, different languages being spoken,,
and unfamiliar people in iron-clad armor.,“So, the realm past the mountains wasn’t just a spirit world for the dead!”,An uncharted world, and the one who faces it,,Barbarian Urich is headed towards the civilized world!",,https://asura.gg/wp-content/uploads/2022/04/BarbQuest_hElookkindadumbaf-1.jpg,9.9,Ongoing,Barbarian Quest
,Manhwa,"Arcana Fantasy, a mobile game, has taken the world by storm. However, players lose consciousness in the real world and are trapped in the game until someone completes it. Can Yoon, the son of a pro gamer, find his father in the virtual world?","Adventure,Fantasy,Shounen,Video Games,Virtual Reality",https://asura.gg/wp-content/uploads/2020/12/tall.jpg,8,Ongoing,Arcana Fantasy
,Manhwa,"[From the author of ,],
After being given up on by his family because his dantian was destroyed, Soh Woonhwi was kidnapped by the Blood Cult and lived as a third-rate spy. One day, he died while being used to find a legendary sword immortal’s secret records. However, he returned to the day he was kidnapped ten years ago and obtained a mysterious ability that allowed him to hear the voice of swords., ","Action,Adventure,Martial Arts,Murim,Returner",https://asura.gg/wp-content/uploads/2022/06/swordsenseCover03.png,9.2,Ongoing,Absolute Sword Sense
,Manhwa,"I became a professor in the best academy of the Empire because I… was mistaken for someone else. I’m in a situation where I can’t get caught by either side. I wonder where this dangerous tight-rope walking situation will lead me to?, , , , , , , , ","Action,Adventure,Comedy,Drama,Fantasy,School Life,Supernatural",https://asura.gg/wp-content/uploads/2022/06/Academys_Undercover_ProfessorCover_copy.png,9.7,Ongoing,Academy’s Undercover Professor
,Manhwa,"Mikhail Walpurgis, the world’s only 9th-circle Archmage, fell in battle due to a damned hero, and managed to cast one final advanced magic spell, ,. As time rewound, he regressed to 20 years ago.,“Fine. I’ll just become the hero instead.”, , , ","Action,Adventure,Fantasy,Regression",https://asura.gg/wp-content/uploads/2022/10/ArchmageTranscendingCover01.png,9.8,Ongoing,Archmage Transcending Through Regression
,Manhwa,"In a world where the murim world of the past continued onto the present…,After the killer ‘Demonic Spirit King’ vanished into thin air, the murim world was at peace.,However, one day, a drug that increases the internal energy of the people of murim appears and disrupts the balance of power.,Just in time, the ‘Demonic Spirit King’ shows himself to the world once again,,And throws the world of murim into a vortex of chaos once again…","Action,Fantasy,Martial Arts",https://asura.gg/wp-content/uploads/2021/11/DemonicSpiritKing.jpg,9.6,Dropped,Demonic Spirit King
